id,Тип_жилья,Широта,Долгота,Город,Индекс,Площадь,Этаж,Размер_участка,Расход_тепла,Ктгр_энергоэффективности,Кво_вредных_выбросов,Ктгр_вредных_выбросов,Направление,Кво_комнат,Кво_спален,Кво_ванных,Кво_фото,Нлч_парковки,Нлч_почтового_ящика,Нлч_балкона,Нлч_террасы,Нлч_подвала,Нлч_гаража,Нлч_кондиционера,Последний_этаж,Верхний_этаж,Цена
35831305,квартира,48.87537484753602,2.483819978147926,rosny-sous-bois,4575,64.0,2.0,,150.0,C,12.0,C,,3.0,2.0,13.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,295000.0
35854039,квартира,45.52232677819882,4.869321553744315,vienne,1793,75.0,,,220.0,D,51.0,E,,3.0,2.0,7.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194000.0
36058437,квартира,43.6728283633484,1.2814685746766197,mondonville,1425,42.0,,,,,,,,2.0,1.0,3.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,179000.0
35989147,дом,44.1587515221831,1.5320808369002243,caussade,4077,102.0,,2000.0,,,,,,5.0,3.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,205000.0
36029269,квартира,47.65521164146191,-2.754196234422172,vannes,2498,84.0,3.0,,,,,,,4.0,3.0,4.0,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,508000.0
36057335,дом,48.33354597160136,-3.0902585991018903,canihuel,942,300.0,,7476.0,192.0,D,11.0,C,,15.0,7.0,9.0,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,455800.0
35752183,дом,50.77671598034086,3.1343261191505194,halluin,2753,83.0,,90.0,221.0,D,52.0,E,,4.0,3.0,7.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,168000.0
36014041,дом,48.52478959866254,3.7816146673596425,maizieres-la-grande-paroisse,359,653.0,,,,,,,,5.0,3.0,6.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,87000.0
36037603,квартира,44.82175694951015,-0.5747924872860188,bordeaux,1506,130.0,,,214.0,D,11.0,C,С-З,4.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,259990.0
36014691,дом,49.09321100039998,0.596728607267056,bernay,1152,120.0,,17000.0,,,,,,5.0,4.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179800.0
35808147,квартира,48.84430422827533,2.3831941491282893,paris-12eme,3639,27.0,,,246.0,E,40.0,E,Ю,2.0,1.0,14.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,266000.0
35863527,дом,49.28203931099249,1.0015285418222617,elbeuf,3691,163.0,,,125.0,C,29.0,D,Ю-З,8.0,6.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178000.0
35970395,квартира,43.61721773482245,1.5018923769947867,balma,1375,779.0,2.0,,,,,,,4.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,369000.0
35996161,квартира,45.56892259289916,5.933625996369909,chambery,3529,59.0,,,,,,,,3.0,2.0,4.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,240000.0
36042045,дуплекс,47.7900991630844,-3.489823091283442,guidel,2535,32.0,,,,,,,,2.0,1.0,6.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,112000.0
30541307,вилла,42.918255093728646,3.026679113333734,leucate,388,287.0,,1096.0,,,,,,10.0,6.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1295000.0
35802431,квартира,43.96643176563352,4.85708229324696,le-pontet,4164,71.0,1.0,,,,,,,4.0,2.0,9.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,150000.0
35857043,квартира,43.120410462287936,5.802461866409003,sanary-sur-mer,4091,90.0,,,,,,,,4.0,3.0,20.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,575000.0
36038013,дом,47.29079038591763,-2.04421590714691,corsept,2069,240.0,,10000.0,183.0,D,6.0,B,В,7.0,5.0,15.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,759255.0
35897037,дом,47.54842659039404,0.8750786148170282,villedomer,1739,240.0,,80850.0,,,,,Ю,9.0,5.0,8.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,498750.0
35797597,дом,43.66598383528251,3.4587005757334666,saint-felix-de-lodez,1631,145.0,,200.0,80.0,B,4.0,A,,5.0,3.0,9.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,445600.0
35999855,квартира,43.480932125307255,-1.4926875314514456,bayonne,3092,63.0,1.0,,49.0,A,11.0,C,Ю,3.0,2.0,10.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,295000.0
36036025,квартира,43.83833660628875,5.026269848796169,cavaillon,4179,91.0,,,84.0,B,,,,4.0,3.0,6.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,249000.0
35515183,особняк,43.29616877576509,1.2345308995951343,carbonne,1401,600.0,,4760.0,,,,,,20.0,5.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,799000.0
35769817,дом,49.0683557898227,4.9097854474981935,verrieres,2366,7535.0,,836.0,,,,,,3.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,45500.0
35821449,квартира,48.529052471742965,2.3245229672379115,saint-vrain,4526,42.0,,,388.0,F,12.0,C,,2.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133500.0
36028521,квартира,48.83928324036143,2.388329225395528,paris-12eme,3639,64.0,6.0,,172.0,D,40.0,E,В-З,,,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700000.0
35821479,квартира,48.77120082345756,2.2605373134778843,chatenay-malabry,4554,87.0,1.0,,,,,,,4.0,3.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553000.0
35997915,квартира,43.6454397904361,5.151770982183479,pelissanne,500,55.0,1.0,,,,,,,3.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154300.0
35957059,квартира,44.10130992748579,5.008204064937014,aubignan,4209,47.0,,,179.0,D,6.0,B,,3.0,2.0,8.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,99000.0
35862355,дом,48.47237350662415,2.340730798520772,cerny,4512,92.0,,510.0,,,,,,4.0,3.0,6.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,260000.0
35752869,дом,47.947144090515046,0.2725276272440783,ruaudin,3500,79.0,,885.0,310.0,E,93.0,G,,3.0,1.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158250.0
